"2019/02/15 Statistics of Order Book & Trade per 5 Seconds"
"Time","Acc. Bid Orders","Acc. Bid Volume","Acc. Ask Orders","Acc. Ask Volume","Acc. Transaction","Acc. Trade Volume","Acc. Trade Value (NT$M)",
="09:23:20","1,037,555","19,281,195","1,071,198","8,243,126","202,817","1,139,774","21,897",
="09:23:25","1,039,683","19,290,175","1,073,726","8,273,060","203,249","1,142,489","21,946",
="09:23:30","1,041,908","19,246,846","1,076,361","8,260,035","203,809","1,149,644","21,991",
="09:23:35","1,044,001","19,235,120","1,079,170","8,270,735","204,293","1,150,995","22,039",
="09:23:40","1,045,720","19,253,968","1,081,355","8,270,904","204,652","1,152,977","22,073",
="09:23:45","1,047,218","19,267,128","1,083,478","8,276,500","205,073","1,154,688","22,111",
="09:23:50","1,048,978","19,277,545","1,085,712","8,276,269","205,491","1,157,741","22,152",
="09:23:55","1,051,307","19,248,273","1,088,301","8,283,762","205,896","1,161,151","22,180",
="09:24:00","1,053,219","19,282,343","1,090,695","8,302,259","206,284","1,162,712","22,212",
="09:24:05","1,054,910","19,265,814","1,092,660","8,297,522","206,677","1,164,369","22,252",
="09:24:10","1,057,278","19,238,710","1,095,568","8,300,154","207,390","1,167,737","22,318",
="09:24:15","1,058,824","19,286,675","1,097,477","8,310,416","207,844","1,170,709","22,360",
="09:24:20","1,060,263","19,270,937","1,099,358","8,313,958","208,260","1,173,071","22,400",
="09:24:25","1,062,534","19,255,213","1,101,878","8,301,432","208,678","1,175,156","22,436",
="09:24:30","1,064,204","19,296,376","1,103,894","8,313,447","209,038","1,178,182","22,463",
="09:24:35","1,065,686","19,306,237","1,106,018","8,329,667","209,418","1,179,862","22,493",
="09:24:40","1,067,714","19,304,135","1,108,551","8,327,177","209,816","1,182,229","22,527",
="09:24:45","1,069,667","19,312,224","1,110,701","8,324,214","210,217","1,184,276","22,569",
="09:24:50","1,071,527","19,320,357","1,112,956","8,318,602","210,570","1,185,755","22,599",
="09:24:55","1,073,508","19,326,207","1,115,435","8,342,377","210,984","1,187,322","22,632",
="09:25:00","1,075,515","19,331,569","1,117,592","8,356,020","211,362","1,190,100","22,669",
="09:25:05","1,078,113","19,335,373","1,120,268","8,352,946","211,830","1,194,340","22,715",
="09:25:10","1,079,934","19,341,263","1,122,393","8,354,866","212,329","1,196,083","22,751",
="09:25:15","1,082,052","19,350,213","1,125,212","8,342,296","212,697","1,197,385","22,784",
="09:25:20","1,083,869","19,348,687","1,127,456","8,351,573","213,144","1,199,392","22,825",
="09:25:25","1,086,005","19,363,290","1,130,219","8,362,916","213,551","1,201,021","22,865",
="09:25:30","1,088,463","19,359,390","1,132,965","8,369,423","214,014","1,203,276","22,915",
="09:25:35","1,090,782","19,389,736","1,135,607","8,384,214","214,386","1,205,212","22,950",
="09:25:40","1,092,949","19,381,458","1,138,127","8,359,717","214,851","1,207,736","22,997",
="09:25:45","1,095,406","19,412,057","1,140,946","8,378,488","215,193","1,209,814","23,037",
="09:25:50","1,097,317","19,451,478","1,143,296","8,383,861","215,585","1,211,733","23,076",
="09:25:55","1,099,610","19,434,574","1,146,189","8,383,126","216,045","1,215,079","23,115",
="09:26:00","1,101,411","19,458,720","1,148,786","8,376,812","216,466","1,216,742","23,153",
="09:26:05","1,103,775","19,422,333","1,151,469","8,384,733","216,915","1,220,278","23,189",
="09:26:10","1,105,908","19,448,714","1,154,048","8,394,691","217,351","1,222,452","23,236",
="09:26:15","1,107,538","19,459,872","1,156,543","8,399,055","217,702","1,224,545","23,268",
="09:26:20","1,109,413","19,443,045","1,158,909","8,378,864","218,040","1,225,823","23,301",
="09:26:25","1,111,471","19,498,833","1,161,553","8,402,980","218,407","1,227,324","23,341",
="09:26:30","1,112,894","19,501,908","1,163,446","8,410,048","218,720","1,228,415","23,369",
="09:26:35","1,114,095","19,527,095","1,165,131","8,425,469","219,050","1,229,258","23,394",
="09:26:40","1,115,933","19,512,877","1,167,279","8,420,933","219,445","1,230,868","23,433",
="09:26:45","1,117,407","19,520,365","1,169,145","8,410,458","219,799","1,232,591","23,467",
="09:26:50","1,119,271","19,547,901","1,171,263","8,424,968","220,149","1,234,131","23,501",
="09:26:55","1,121,214","19,559,235","1,173,488","8,427,115","220,451","1,235,133","23,528",
="09:27:00","1,122,864","19,586,821","1,175,721","8,437,951","220,757","1,236,743","23,564",
="09:27:05","1,124,882","19,587,236","1,178,028","8,439,154","221,101","1,238,188","23,604",
